TagID 70000 	 TagName JPEGGpsCoordinates 			 Size 24 	 Type 4 	 TagType 0 
TagID 70001 	 TagName JPEGGpsProcessingMethod 			 Size 64 	 Type 0 	 TagType 0 
TagID 70002 	 TagName JPEGGpsTimestamp 			 Size 8 	 Type 3 	 TagType 0 
TagID 70003 	 TagName JPEGOrientation 			 Size 4 	 Type 1 	 TagType 0 
TagID 70004 	 TagName JPEGQuality 			 Size 1 	 Type 0 	 TagType 0 
TagID 70005 	 TagName JPEGThumbnailQuality 			 Size 1 	 Type 0 	 TagType 0 
TagID 70006 	 TagName JPEGThumbnailSize 			 Size 8 	 Type 1 	 TagType 0 
TagID 70007 	 TagName JPEGAvailableThumbnailSizes 			 Size 320 	 Type 1 	 TagType 0 
TagID 70008 	 TagName JPEGMaxSize 			 Size 4 	 Type 1 	 TagType 0 
TagID 70009 	 TagName JPEGSize 			 Size 4 	 Type 1 	 TagType 0 
TagID 80000 	 TagName LensAperture 			 Size 4 	 Type 2 	 TagType 0 
TagID 80001 	 TagName LensFilterDensity 			 Size 4 	 Type 2 	 TagType 0 
TagID 80002 	 TagName LensFocalLength 			 Size 4 	 Type 2 	 TagType 0 
TagID 80003 	 TagName LensFocusDistance 			 Size 4 	 Type 2 	 TagType 0 
TagID 80004 	 TagName LensOpticalStabilizationMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 80005 	 TagName LensFacing 			 Size 1 	 Type 0 	 TagType 0 
TagID 80006 	 TagName LensPoseRotation 			 Size 16 	 Type 2 	 TagType 0 
TagID 80007 	 TagName LensPoseTranslation 			 Size 12 	 Type 2 	 TagType 0 
TagID 80008 	 TagName LensFocusRange 			 Size 8 	 Type 2 	 TagType 0 
TagID 80009 	 TagName LensState 			 Size 1 	 Type 0 	 TagType 0 
TagID 8000a 	 TagName LensIntrinsicCalibration 			 Size 20 	 Type 2 	 TagType 0 
TagID 8000b 	 TagName LensRadialDistortion 			 Size 24 	 Type 2 	 TagType 0 
TagID 8000c 	 TagName LensPoseReference 			 Size 1 	 Type 0 	 TagType 0 
TagID 8000d 	 TagName LensDistortion 			 Size 20 	 Type 2 	 TagType 0 
TagID 8000e 	 TagName LensDistortionMaximumResolution 			 Size 20 	 Type 2 	 TagType 0 
TagID 8000f 	 TagName LensIntrinsicCalibrationMaximumResolution 			 Size 20 	 Type 2 	 TagType 0 
TagID 90000 	 TagName LensInfoAvailableApertures 			 Size 128 	 Type 2 	 TagType 0 
TagID 90001 	 TagName LensInfoAvailableFilterDensities 			 Size 128 	 Type 2 	 TagType 0 
TagID 90002 	 TagName LensInfoAvailableFocalLengths 			 Size 128 	 Type 2 	 TagType 0 
TagID 90003 	 TagName LensInfoAvailableOpticalStabilization 			 Size 2 	 Type 0 	 TagType 0 
TagID 90004 	 TagName LensInfoHyperfocalDistance 			 Size 4 	 Type 2 	 TagType 0 
TagID 90005 	 TagName LensInfoMinimumFocusDistance 			 Size 4 	 Type 2 	 TagType 0 
TagID 90006 	 TagName LensInfoShadingMapSize 			 Size 8 	 Type 1 	 TagType 0 
TagID 90007 	 TagName LensInfoFocusDistanceCalibration 			 Size 1 	 Type 0 	 TagType 0 
TagID a0000 	 TagName NoiseReductionMode 			 Size 1 	 Type 0 	 TagType 0 
TagID a0001 	 TagName NoiseReductionStrength 			 Size 1 	 Type 0 	 TagType 0 
TagID a0002 	 TagName NoiseReductionAvailableNoiseReductionModes 			 Size 5 	 Type 0 	 TagType 0 
TagID b0000 	 TagName QuirksMeteringCropRegion 			 Size 1 	 Type 0 	 TagType 0 
TagID b0001 	 TagName QuirksTriggerAFWithAuto 			 Size 1 	 Type 0 	 TagType 0 
TagID b0002 	 TagName QuirksUseZslFormat 			 Size 1 	 Type 0 	 TagType 0 
TagID b0003 	 TagName QuirksUsePartialResult 			 Size 1 	 Type 0 	 TagType 0 
TagID b0004 	 TagName QuirksPartialResult 			 Size 1 	 Type 0 	 TagType 0 
TagID c0000 	 TagName RequestFrameCount 			 Size 4 	 Type 1 	 TagType 0 
TagID c0001 	 TagName RequestId 			 Size 4 	 Type 1 	 TagType 0 
TagID c0002 	 TagName RequestInputStreams 			 Size 4 	 Type 1 	 TagType 0 
TagID c0003 	 TagName RequestMetadataMode 			 Size 1 	 Type 0 	 TagType 0 
TagID c0004 	 TagName RequestOutputStreams 			 Size 4 	 Type 1 	 TagType 0 
TagID c0005 	 TagName RequestType 			 Size 1 	 Type 0 	 TagType 0 
TagID c0006 	 TagName RequestMaxNumOutputStreams 			 Size 12 	 Type 1 	 TagType 0 
TagID c0007 	 TagName RequestMaxNumReprocessStreams 			 Size 4 	 Type 1 	 TagType 0 
TagID c0008 	 TagName RequestMaxNumInputStreams 			 Size 4 	 Type 1 	 TagType 0 
TagID c0009 	 TagName RequestPipelineDepth 			 Size 1 	 Type 0 	 TagType 0 
TagID c000a 	 TagName RequestPipelineMaxDepth 			 Size 1 	 Type 0 	 TagType 0 
TagID c000b 	 TagName RequestPartialResultCount 			 Size 4 	 Type 1 	 TagType 0 
TagID c000c 	 TagName RequestAvailableCapabilities 			 Size 18 	 Type 0 	 TagType 0 
TagID c000d 	 TagName RequestAvailableRequestKeys 			 Size 276 	 Type 1 	 TagType 0 
TagID c000e 	 TagName RequestAvailableResultKeys 			 Size 276 	 Type 1 	 TagType 0 
TagID c000f 	 TagName RequestAvailableCharacteristicsKeys 			 Size 492 	 Type 1 	 TagType 0 
TagID c0010 	 TagName RequestAvailableSessionKeys 			 Size 8 	 Type 1 	 TagType 0 
TagID c0011 	 TagName RequestAvailablePhysicalCameraRequestKeys 			 Size 4 	 Type 1 	 TagType 0 
TagID c0012 	 TagName RequestCharacteristicKeysNeedingPermission 			 Size 4 	 Type 1 	 TagType 0 
TagID d0000 	 TagName ScalerCropRegion 			 Size 16 	 Type 1 	 TagType 0 
TagID d0001 	 TagName ScalerAvailableFormats 			 Size 40 	 Type 1 	 TagType 0 
TagID d0002 	 TagName ScalerAvailableJPEGMinDurations 			 Size 256 	 Type 3 	 TagType 0 
TagID d0003 	 TagName ScalerAvailableJPEGSizes 			 Size 320 	 Type 1 	 TagType 0 
TagID d0004 	 TagName ScalerAvailableMaxDigitalZoom 			 Size 4 	 Type 2 	 TagType 0 
TagID d0005 	 TagName ScalerAvailableProcessedMinDurations 			 Size 256 	 Type 3 	 TagType 0 
TagID d0006 	 TagName ScalerAvailableProcessedSizes 			 Size 320 	 Type 1 	 TagType 0 
TagID d0007 	 TagName ScalerAvailableRawMinDurations 			 Size 256 	 Type 3 	 TagType 0 
TagID d0008 	 TagName ScalerAvailableRawSizes 			 Size 1600 	 Type 1 	 TagType 0 
TagID d0009 	 TagName ScalerAvailableInputOutputFormatsMap 			 Size 128 	 Type 1 	 TagType 0 
TagID d000a 	 TagName ScalerAvailableStreamConfigurations 			 Size 12800 	 Type 1 	 TagType 0 
TagID d000b 	 TagName ScalerAvailableMinFrameDurations 			 Size 12800 	 Type 3 	 TagType 0 
TagID d000c 	 TagName ScalerAvailableStallDurations 			 Size 12800 	 Type 3 	 TagType 0 
TagID d000d 	 TagName ScalerCroppingType 			 Size 1 	 Type 0 	 TagType 0 
TagID d000e 	 TagName ScalerAvailableRecommendedStreamConfigurations 			 Size 180 	 Type 1 	 TagType 0 
TagID d000f 	 TagName ScalerAvailableRecommendedInputOutputFormatsMap 			 Size 4 	 Type 1 	 TagType 0 
TagID d0010 	 TagName ScalerAvailableRotateAndCropModes 			 Size 1 	 Type 0 	 TagType 0 
TagID d0011 	 TagName ScalerRotateAndCrop 			 Size 1 	 Type 0 	 TagType 0 
TagID d0012 	 TagName ScalerDefaultSecureImageSize 			 Size 8 	 Type 1 	 TagType 0 
TagID d0013 	 TagName ScalerPhysicalCameraMultiResolutionStreamConfiguration 			 Size 32 	 Type 1 	 TagType 0 
TagID d0014 	 TagName ScalerAvailableStreamConfigurationsMaximumResolution 			 Size 12800 	 Type 1 	 TagType 0 
TagID d0015 	 TagName ScalerAvailableMinFrameDurationsMaximumResolution 			 Size 12800 	 Type 3 	 TagType 0 
TagID d0016 	 TagName ScalerAvaiableStallDurationsMaximumResolution 			 Size 12800 	 Type 3 	 TagType 0 
TagID d0017 	 TagName ScalerAvailableInputOutputFormatsMapMaximumResolution 			 Size 4 	 Type 1 	 TagType 0 
TagID d0018 	 TagName ScalerMultiResolutionStreamSupported 			 Size 1 	 Type 0 	 TagType 0 
TagID e0000 	 TagName SensorExposureTime 			 Size 8 	 Type 3 	 TagType 0 
TagID e0001 	 TagName SensorFrameDuration 			 Size 8 	 Type 3 	 TagType 0 
TagID e0002 	 TagName SensorSensitivity 			 Size 4 	 Type 1 	 TagType 0 
TagID e0003 	 TagName SensorReferenceIlluminant1 			 Size 1 	 Type 0 	 TagType 0 
TagID e0004 	 TagName SensorReferenceIlluminant2 			 Size 1 	 Type 0 	 TagType 0 
TagID e0005 	 TagName SensorCalibrationTransform1 			 Size 72 	 Type 5 	 TagType 0 
TagID e0006 	 TagName SensorCalibrationTransform2 			 Size 72 	 Type 5 	 TagType 0 
TagID e0007 	 TagName SensorColorTransform1 			 Size 72 	 Type 5 	 TagType 0 
TagID e0008 	 TagName SensorColorTransform2 			 Size 72 	 Type 5 	 TagType 0 
TagID e0009 	 TagName SensorForwardMatrix1 			 Size 72 	 Type 5 	 TagType 0 
TagID e000a 	 TagName SensorForwardMatrix2 			 Size 72 	 Type 5 	 TagType 0 
TagID e000b 	 TagName SensorBaseGainFactor 			 Size 8 	 Type 5 	 TagType 0 
TagID e000c 	 TagName SensorBlackLevelPattern 			 Size 16 	 Type 1 	 TagType 0 
TagID e000d 	 TagName SensorMaxAnalogSensitivity 			 Size 4 	 Type 1 	 TagType 0 
TagID e000e 	 TagName SensorOrientation 			 Size 4 	 Type 1 	 TagType 0 
TagID e000f 	 TagName SensorProfileHueSaturationMapDimensions 			 Size 12 	 Type 1 	 TagType 0 
TagID e0010 	 TagName SensorTimestamp 			 Size 8 	 Type 3 	 TagType 0 
TagID e0011 	 TagName SensorTemperature 			 Size 4 	 Type 2 	 TagType 0 
TagID e0012 	 TagName SensorNeutralColorPoint 			 Size 24 	 Type 5 	 TagType 0 
TagID e0013 	 TagName SensorNoiseProfile 			 Size 512 	 Type 4 	 TagType 0 
TagID e0014 	 TagName SensorProfileHueSaturationMap 			 Size 12 	 Type 2 	 TagType 0 
TagID e0015 	 TagName SensorProfileToneCurve 			 Size 512 	 Type 2 	 TagType 0 
TagID e0016 	 TagName SensorGreenSplit 			 Size 4 	 Type 2 	 TagType 0 
TagID e0017 	 TagName SensorTestPatternData 			 Size 16 	 Type 1 	 TagType 0 
TagID e0018 	 TagName SensorTestPatternMode 			 Size 4 	 Type 1 	 TagType 0 
TagID e0019 	 TagName SensorAvailableTestPatternModes 			 Size 24 	 Type 1 	 TagType 0 
